gpkg_standardized,gpkg,gpkg_n_features,gpkg_xmin,gpkg_ymin,gpkg_xmax,gpkg_ymax
gpkg-standardized/EA_1999-01-01.gpkg,gpkg/EA_1999-01-01.gpkg,278,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-02-01.gpkg,gpkg/EA_1999-02-01.gpkg,316,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-03-01.gpkg,gpkg/EA_1999-03-01.gpkg,273,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-04-01.gpkg,gpkg/EA_1999-04-01.gpkg,275,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-05-01.gpkg,gpkg/EA_1999-05-01.gpkg,287,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-05-15.gpkg,gpkg/EA_1999-05-15.gpkg,285,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-06-01.gpkg,gpkg/EA_1999-06-01.gpkg,334,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-06-14.gpkg,gpkg/EA_1999-06-14.gpkg,316,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-06-21.gpkg,gpkg/EA_1999-06-21.gpkg,308,-294124.09375,2704501,1856542.625,5028246.5
gpkg-standardized/EA_1999-06-28.gpkg,gpkg/EA_1999-06-28.gpkg,337,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-07-05.gpkg,gpkg/EA_1999-07-05.gpkg,352,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-07-12.gpkg,gpkg/EA_1999-07-12.gpkg,321,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-07-19.gpkg,gpkg/EA_1999-07-19.gpkg,328,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-07-26.gpkg,gpkg/EA_1999-07-26.gpkg,330,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-08-02.gpkg,gpkg/EA_1999-08-02.gpkg,309,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-08-09.gpkg,gpkg/EA_1999-08-09.gpkg,285,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-08-16.gpkg,gpkg/EA_1999-08-16.gpkg,278,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-08-23.gpkg,gpkg/EA_1999-08-23.gpkg,277,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-08-30.gpkg,gpkg/EA_1999-08-30.gpkg,260,-294124.09375,2704501,1856542.625,5028246.5
gpkg-standardized/EA_1999-09-06.gpkg,gpkg/EA_1999-09-06.gpkg,288,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-09-13.gpkg,gpkg/EA_1999-09-13.gpkg,280,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-09-20.gpkg,gpkg/EA_1999-09-20.gpkg,247,-294124.09375,2704501,1856542.625,5028246.5
gpkg-standardized/EA_1999-09-27.gpkg,gpkg/EA_1999-09-27.gpkg,231,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-10-04.gpkg,gpkg/EA_1999-10-04.gpkg,270,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-10-11.gpkg,gpkg/EA_1999-10-11.gpkg,276,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-10-18.gpkg,gpkg/EA_1999-10-18.gpkg,318,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-10-25.gpkg,gpkg/EA_1999-10-25.gpkg,357,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-11-01.gpkg,gpkg/EA_1999-11-01.gpkg,349,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-11-08.gpkg,gpkg/EA_1999-11-08.gpkg,387,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-11-15.gpkg,gpkg/EA_1999-11-15.gpkg,343,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-11-22.gpkg,gpkg/EA_1999-11-22.gpkg,367,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_1999-12-01.gpkg,gpkg/EA_1999-12-01.gpkg,371,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-01-01.gpkg,gpkg/EA_2000-01-01.gpkg,358,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-02-01.gpkg,gpkg/EA_2000-02-01.gpkg,289,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-03-01.gpkg,gpkg/EA_2000-03-01.gpkg,294,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-04-01.gpkg,gpkg/EA_2000-04-01.gpkg,304,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-05-01.gpkg,gpkg/EA_2000-05-01.gpkg,301,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-05-15.gpkg,gpkg/EA_2000-05-15.gpkg,304,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-06-01.gpkg,gpkg/EA_2000-06-01.gpkg,306,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-06-15.gpkg,gpkg/EA_2000-06-15.gpkg,311,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-06-19.gpkg,gpkg/EA_2000-06-19.gpkg,329,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-06-26.gpkg,gpkg/EA_2000-06-26.gpkg,326,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-07-03.gpkg,gpkg/EA_2000-07-03.gpkg,324,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-07-10.gpkg,gpkg/EA_2000-07-10.gpkg,312,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-07-17.gpkg,gpkg/EA_2000-07-17.gpkg,334,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-07-24.gpkg,gpkg/EA_2000-07-24.gpkg,332,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-07-31.gpkg,gpkg/EA_2000-07-31.gpkg,288,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-08-07.gpkg,gpkg/EA_2000-08-07.gpkg,261,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-08-14.gpkg,gpkg/EA_2000-08-14.gpkg,238,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-08-21.gpkg,gpkg/EA_2000-08-21.gpkg,235,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-08-28.gpkg,gpkg/EA_2000-08-28.gpkg,227,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-09-04.gpkg,gpkg/EA_2000-09-04.gpkg,220,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-09-11.gpkg,gpkg/EA_2000-09-11.gpkg,180,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-09-18.gpkg,gpkg/EA_2000-09-18.gpkg,184,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-09-25.gpkg,gpkg/EA_2000-09-25.gpkg,166,-246099.920894564,2702078.38037733,2003775.32687183,5269050.46053051
gpkg-standardized/EA_2000-10-02.gpkg,gpkg/EA_2000-10-02.gpkg,256,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-10-09.gpkg,gpkg/EA_2000-10-09.gpkg,261,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-10-16.gpkg,gpkg/EA_2000-10-16.gpkg,310,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2000-10-23.gpkg,gpkg/EA_2000-10-23.gpkg,344,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
